Model Type,Time Steps,Sentiment,Study,MAPE
CNN,5,No,1258,1.064547115
LSTM,5,No,1420,1.135828387
LSTM,20,Yes,1425,1.147220598
LSTM,20,Yes,1293,1.29661902
CNN,5,No,1306,1.328429425
LSTM,20,Yes,1305,1.333638542
LSTM,20,Yes,1341,1.358177058
CNN,10,No,1308,1.418808007
LSTM,20,Yes,1281,1.443853781
LSTM,20,Yes,1413,1.478152127
CNN,5,No,1378,1.538676137
LSTM,20,Yes,1269,1.585124939
CNN,10,No,1392,1.62257844
CNN,10,No,1260,1.640306172
CNN,10,No,1404,1.646387476
LSTM,20,Yes,1365,1.658948185
LSTM,20,Yes,1377,1.676417298
LSTM,20,Yes,1353,1.703981833
CNN,5,No,1270,1.730969672
LSTM,20,Yes,1329,1.757242242
CNN,5,No,1318,1.786407184
CNN,10,No,1272,1.81657077
CNN,5,No,1294,1.850009595
CNN,10,No,1296,1.868099631
CNN,5,No,1366,1.872452329
CNN,5,No,1354,1.877714684
CNN,20,No,1406,1.906551277
CNN,5,No,1390,1.920364001
CNN,5,No,1414,1.922279479
LSTM,20,No,1316,1.975836409
LSTM,5,No,1396,2.04169736
CNN,5,No,1402,2.062228552
CNN,20,No,1274,2.097752255
CNN,5,No,1282,2.115822514
LSTM,20,Yes,1401,2.119631607
LSTM,20,Yes,1389,2.129460026
CNN,20,No,1358,2.193478693
LSTM,10,Yes,1387,2.19660252
CNN,20,No,1262,2.203309285
CNN,10,No,1380,2.204810037
CNN,5,No,1330,2.222764205
CNN,10,No,1332,2.236919939
CNN,5,No,1342,2.271367869
CNN,10,No,1320,2.304133715
CNN,5,Yes,1379,2.309673975
LSTM,10,Yes,1411,2.332183728
CNN,20,No,1298,2.379860943
CNN,5,Yes,1331,2.584132081
CNN,5,Yes,1391,2.601304335
CNN,10,Yes,1297,2.608530436
CNN,10,Yes,1273,2.648764415
CNN,20,No,1310,2.686909413
CNN,10,Yes,1381,2.694101397
CNN,5,Yes,1319,2.715455792
LSTM,5,Yes,1361,2.780564449
LSTM,10,Yes,1279,2.79359781
CNN,10,No,1356,2.810823539
LSTM,20,No,1364,2.850638609
CNN,5,Yes,1403,2.868019833
LSTM,5,No,1360,2.87742322
CNN,10,Yes,1261,2.886935445
CNN,10,Yes,1333,2.905093503
CNN,5,Yes,1415,3.092287597
CNN,5,Yes,1271,3.093480311
CNN,10,Yes,1405,3.097639736
LSTM,10,Yes,1375,3.158944144
CNN,5,Yes,1307,3.164728387
CNN,10,Yes,1393,3.173459789
LSTM,20,Yes,1317,3.185541711
LSTM,10,Yes,1315,3.263428395
CNN,10,Yes,1345,3.295286034
CNN,10,Yes,1357,3.306483517
CNN,5,Yes,1343,3.316539134
LSTM,20,No,1424,3.319214825
CNN,10,Yes,1309,3.332330099
LSTM,5,No,1408,3.33790182
LSTM,5,No,1276,3.355717991
CNN,10,Yes,1417,3.37719083
LSTM,10,Yes,1303,3.440024913
CNN,5,Yes,1295,3.521002454
LSTM,20,No,1400,3.528314606
LSTM,10,Yes,1399,3.533945228
CNN,20,No,1334,3.636067071
CNN,10,Yes,1285,3.648902806
LSTM,20,No,1280,3.654314411
CNN,20,No,1382,3.735633825
CNN,20,Yes,1287,3.752982515
CNN,10,No,1416,3.765762302
LSTM,5,Yes,1277,3.788447961
CNN,20,No,1346,3.814926131
LSTM,20,No,1340,3.871676795
LSTM,10,No,1290,3.889032001
CNN,5,Yes,1283,3.917844692
LSTM,20,No,1268,3.938450439
CNN,20,Yes,1335,3.939983603
LSTM,10,Yes,1327,3.986747301
LSTM,10,Yes,1351,4.049157104
LSTM,5,No,1300,4.097064943
LSTM,10,Yes,1267,4.126002598
CNN,10,Yes,1369,4.36088336
LSTM,20,No,1352,4.381903628
CNN,10,Yes,1321,4.438586134
LSTM,5,Yes,1421,4.500080287
CNN,10,No,1284,4.582003866
LSTM,10,No,1386,4.625934194
CNN,20,No,1370,4.65377715
LSTM,5,Yes,1409,4.666911903
LSTM,5,Yes,1313,4.674233745
LSTM,20,No,1412,4.679149575
LSTM,20,No,1292,4.737452268
CNN,20,Yes,1323,4.80272477
LSTM,10,Yes,1363,5.109874168
LSTM,5,No,1324,5.156322868
LSTM,5,Yes,1349,5.225096431
LSTM,20,No,1376,5.242608383
LSTM,20,No,1304,5.365005661
CNN,5,Yes,1259,5.38240773
CNN,5,Yes,1355,5.406066155
LSTM,10,No,1302,5.4400057
LSTM,10,Yes,1291,5.489952717
LSTM,20,No,1328,5.548658676
CNN,20,No,1418,5.577637872
CNN,20,Yes,1383,5.6035209
LSTM,10,No,1410,5.773434212
LSTM,5,No,1312,5.788547781
