Predicted Days,Time Steps,Model Type,Sentiment,MAPE,Study
1,5,CNN,No,0.04344131,1210
1,5,CNN,Yes,0.044335103,1211
1,5,LSTM,No,0.21925463,1168
1,5,LSTM,Yes,0.110876942,1217
1,10,CNN,No,0.111147895,1200
1,10,CNN,Yes,0.091392956,1249
1,10,LSTM,No,0.329553622,1218
1,10,LSTM,Yes,0.007082631,1243
1,20,CNN,No,0.986488215,1238
1,20,CNN,Yes,1.52599678,1251
1,20,LSTM,No,0.09689099,1196
1,20,LSTM,Yes,0.020956057,1185
5,5,CNN,No,1.089903695,577
5,5,CNN,Yes,1.207904789,794
5,5,LSTM,No,0.485329239,619
5,5,LSTM,Yes,1.376326818,530
5,10,CNN,No,0.57971986,651
5,10,CNN,Yes,1.102606077,1036
5,10,LSTM,No,1.668697483,541
5,10,LSTM,Yes,0.932380845,552
5,20,CNN,No,1.18683624,538
5,20,CNN,Yes,0.791746306,774
5,20,LSTM,No,1.151322723,623
5,20,LSTM,Yes,1.12839013,1032
10,5,CNN,No,1.064547115,1258
10,5,CNN,Yes,2.309673975,1379
10,5,LSTM,No,1.135828387,1420
10,5,LSTM,Yes,2.780564449,1361
10,10,CNN,No,1.418808007,1308
10,10,CNN,Yes,2.608530436,1297
10,10,LSTM,No,3.889032001,1290
10,10,LSTM,Yes,2.19660252,1387
10,20,CNN,No,2.097752255,1274
10,20,CNN,No,1.906551277,1406
10,20,LSTM,No,1.975836409,1316
10,20,LSTM,Yes,1.147220598,1293
